,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0, 1, 0, 3, 2], [1, 3, 3, 3, 3, 0, 3, 1, 2, 0, 3, 3, 0, 0], [2, 3], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [3, 7, 4, 6, 1, 0, 7, 9, 2, 0, 1, 5, 2, 6, 7]]",0.06691518902533236,"[1, 5, 2, 1, 1, 3, 1, 15]",6,0.374+(((_exp_((x[0]-61.07)|_div_|92.01)))-((x[0])|_div_|(52.67))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0, 1, 0, 3, 2], [1, 3, 3, 3, 3, 0, 3, 1, 2, 0, 3, 3, 0, 0], [1, 3], [0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [3, 6, 9, 6, 1, 5, 3, 9, 2, 0, 1, 5, 3, 1, 1]]",0.06698070849858648,"[1, 5, 2, 1, 1, 3, 1, 15]",6,0.369+(((_exp_((x[0]-61.53)|_div_|92.01)))-((x[0])|_div_|(53.11))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0, 1, 0, 3, 2], [1, 3, 3, 3, 3, 0, 3, 1, 2, 0, 3, 3, 0, 0], [1, 3], [0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [3, 6, 9, 6, 1, 5, 6, 9, 2, 2, 1, 5, 3, 1, 1]]",0.06700209462862235,"[1, 5, 2, 1, 1, 3, 1, 15]",6,0.369+(((_exp_((x[0]-61.56)|_div_|92.21)))-((x[0])|_div_|(53.11))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0, 1, 0, 3, 2], [1, 3], [2, 2], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [3, 6, 0, 6, 0, 5, 4, 9, 3, 1, 2, 5, 3, 1, 6]]",0.06702821917552725,"[1, 5, 2, 1, 1, 3, 1, 15]",6,0.360+(((_exp_((x[0]-60.54)|_div_|93.12)))-((x[0])|_div_|(53.16))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0, 1, 0, 3, 2], [1, 3, 2, 3, 0, 0, 1, 2, 0, 1, 2], [2, 2], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [3, 6, 0, 6, 0, 5, 4, 9, 3, 1, 2, 5, 3, 1, 6]]",0.06702821917552725,"[1, 5, 2, 1, 1, 3, 1, 15]",6,0.360+(((_exp_((x[0]-60.54)|_div_|93.12)))-((x[0])|_div_|(53.16))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0, 1, 0, 3, 2], [1, 3], [1, 2], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [3, 6, 5, 6, 1, 1, 3, 9, 2, 7, 2, 5, 3, 1, 1]]",0.06704988434142317,"[1, 5, 2, 1, 1, 3, 1, 15]",6,0.365+(((_exp_((x[0]-61.13)|_div_|92.72)))-((x[0])|_div_|(53.11))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0, 1, 0, 3, 2], [1, 3, 3, 3, 3, 0, 3, 1, 2, 0, 3, 3, 0, 0], [1, 2], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [3, 6, 7, 6, 1, 5, 6, 9, 2, 0, 1, 5, 3, 1, 1]]",0.06705675401256916,"[1, 5, 2, 1, 1, 3, 1, 15]",6,0.367+(((_exp_((x[0]-61.56)|_div_|92.01)))-((x[0])|_div_|(53.11))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0, 1, 0, 3, 2], [1, 3, 3, 3, 3, 0, 3, 1, 2, 0, 3, 3, 0, 0], [2, 2], [0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [3, 6, 6, 6, 0, 5, 6, 9, 3, 0, 5, 5, 3, 0, 3]]",0.06706666223191164,"[1, 5, 2, 1, 1, 3, 1, 15]",6,0.366+(((_exp_((x[0]-60.56)|_div_|93.05)))-((x[0])|_div_|(53.03))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 1, 0, 3, 2], [1, 3, 3, 3, 3, 0, 3, 1, 2, 0, 3, 3, 0, 0], [2, 2], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [3, 6, 5, 6, 1, 3, 3, 9, 2, 0, 8, 5, 3, 2, 1]]",0.06707472759406091,"[1, 5, 2, 1, 1, 3, 1, 15]",6,0.365+(((_exp_((x[0]-61.33)|_div_|92.08)))-((x[0])|_div_|(53.21))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0, 1, 0, 3, 2], [1, 3, 3, 3, 3, 0, 3, 1, 2, 0, 3, 3, 0, 0], [1, 2], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [3, 6, 0, 6, 0, 2, 4, 9, 3, 4, 5, 5, 3, 1, 4]]",0.06708822609348372,"[1, 5, 2, 1, 1, 3, 1, 15]",6,0.360+(((_exp_((x[0]-60.24)|_div_|93.45)))-((x[0])|_div_|(53.14))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
