,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 1, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [8, 9, 4, 0, 8, 5, 4, 9, 8, 5, 4, 8, 4, 4, 6, 7, 0, 7, 2, 8, 9, 1, 7, 1, 0, 7, 3, 5, 7, 9, 4, 5, 3, 0, 9, 8, 6, 4, 3, 1, 6, 9, 0, 3, 9, 4, 0, 1, 9, 2, 7, 6]]",0.006420676097039653,"[1, 1, 1, 1, 3, 2, 1, 6, 2, 4, 2, 7, 4, 6, 6, 52]",6,(0.894*(1-0.085*(x[0]-34.9)|_div_|85.48)|_div_|(1+_exp_((34.4-x[0])|_div_|67.07)))*(1-_sig_(0.2*(x[0]-(28.91+37.1))))+0.073*(1-0.579)*_exp_((45.30+39.8-x[0])|_div_|64.31)|_div_|(1+_exp_((36.9-x[0])|_div_|03.94))*_sig_(0.2*(x[0]-(01.92+37.6))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [1, 1, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 2, 6, 1, 2, 6, 0, 0, 8, 1, 5, 5, 9, 6, 4, 8, 3, 3, 9, 3, 3, 4, 2, 2, 0, 5, 6, 3, 7, 0, 4, 5, 3, 9, 2, 9, 7, 1, 7, 7, 7, 2, 0, 3, 9, 6, 0, 4, 6, 2, 5, 9]]",0.006568633023309005,"[1, 1, 1, 1, 3, 2, 1, 6, 2, 4, 2, 7, 4, 6, 6, 52]",6,(0.126*(1-0.126*(x[0]-30.0)|_div_|81.55)|_div_|(1+_exp_((39.6-x[0])|_div_|48.33)))*(1-_sig_(0.2*(x[0]-(93.34+32.2))))+0.056*(1-0.370)*_exp_((45.39+32.9-x[0])|_div_|71.77)|_div_|(1+_exp_((37.2-x[0])|_div_|03.96))*_sig_(0.2*(x[0]-(04.62+35.9))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 2, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [5, 3, 2, 0, 0, 0, 7, 5, 6, 1, 7, 0, 4, 0, 1, 6, 8, 3, 0, 8, 9, 7, 1, 7, 0, 7, 0, 5, 6, 8, 4, 0, 2, 2, 8, 7, 6, 0, 7, 8, 6, 2, 0, 3, 9, 5, 0, 8, 7, 1, 0, 7]]",0.006753366003405411,"[1, 1, 1, 1, 3, 2, 1, 6, 2, 4, 2, 7, 4, 6, 6, 52]",6,(0.532*(1-0.000*(x[0]-37.5)|_div_|61.70)|_div_|(1+_exp_((34.0-x[0])|_div_|16.83)))*(1-_sig_(0.2*(x[0]-(08.97+31.7))))+0.070*(1-0.568)*_exp_((40.22+38.7-x[0])|_div_|60.78)|_div_|(1+_exp_((36.2-x[0])|_div_|03.95))*_sig_(0.2*(x[0]-(08.71+30.7))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 1, 2, 2], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 0, 2, 0, 9, 1, 2, 2, 9, 0, 1, 0, 8, 1, 7, 1, 8, 8, 7, 3, 9, 6, 1, 3, 0, 7, 5, 5, 7, 6, 4, 5, 0, 4, 6, 4, 7, 0, 3, 8, 6, 0, 0, 3, 9, 7, 0, 1, 7, 1, 7, 7]]",0.0068185980836506,"[1, 1, 1, 1, 3, 2, 1, 6, 2, 4, 2, 7, 4, 6, 6, 52]",6,(0.202*(1-0.091*(x[0]-32.2)|_div_|90.10)|_div_|(1+_exp_((38.1-x[0])|_div_|71.88)))*(1-_sig_(0.2*(x[0]-(73.96+31.3))))+0.075*(1-0.576)*_exp_((45.04+36.4-x[0])|_div_|70.38)|_div_|(1+_exp_((36.0-x[0])|_div_|03.97))*_sig_(0.2*(x[0]-(01.71+37.7))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [1, 1, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 2, 6, 1, 2, 6, 0, 0, 8, 3, 5, 5, 2, 6, 4, 8, 8, 3, 9, 3, 2, 7, 2, 2, 0, 5, 6, 3, 7, 0, 4, 1, 3, 9, 7, 9, 7, 1, 7, 7, 7, 2, 0, 3, 9, 6, 0, 4, 6, 2, 5, 9]]",0.0068341222399090585,"[1, 1, 1, 1, 3, 2, 1, 6, 2, 4, 2, 7, 4, 6, 6, 52]",6,(0.126*(1-0.126*(x[0]-30.0)|_div_|83.55)|_div_|(1+_exp_((32.6-x[0])|_div_|48.83)))*(1-_sig_(0.2*(x[0]-(93.27+32.2))))+0.056*(1-0.370)*_exp_((41.39+37.9-x[0])|_div_|71.77)|_div_|(1+_exp_((37.2-x[0])|_div_|03.96))*_sig_(0.2*(x[0]-(04.62+35.9))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [1, 1, 2, 2], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 6, 2, 0, 1, 0, 2, 5, 2, 1, 3, 0, 4, 0, 1, 6, 8, 9, 0, 8, 7, 7, 1, 3, 0, 7, 2, 5, 6, 2, 4, 3, 2, 8, 2, 7, 6, 0, 4, 8, 6, 2, 0, 3, 9, 5, 0, 8, 7, 6, 0, 7]]",0.006895523561861288,"[1, 1, 1, 1, 3, 2, 1, 6, 2, 4, 2, 7, 4, 6, 6, 52]",6,(0.062*(1-0.010*(x[0]-32.5)|_div_|21.30)|_div_|(1+_exp_((34.0-x[0])|_div_|16.89)))*(1-_sig_(0.2*(x[0]-(08.77+31.3))))+0.072*(1-0.562)*_exp_((43.28+32.7-x[0])|_div_|60.48)|_div_|(1+_exp_((36.2-x[0])|_div_|03.95))*_sig_(0.2*(x[0]-(08.76+30.7))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [1, 1, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [8, 9, 5, 0, 8, 9, 7, 9, 8, 5, 4, 8, 9, 4, 8, 7, 9, 7, 2, 8, 3, 1, 7, 8, 0, 7, 3, 5, 5, 9, 4, 5, 3, 0, 1, 6, 6, 4, 3, 1, 6, 9, 0, 3, 9, 7, 0, 1, 9, 2, 7, 6]]",0.006956497309714075,"[1, 1, 1, 1, 3, 2, 1, 6, 2, 4, 2, 7, 4, 6, 6, 52]",6,(0.895*(1-0.089*(x[0]-37.9)|_div_|85.48)|_div_|(1+_exp_((39.4-x[0])|_div_|87.97)))*(1-_sig_(0.2*(x[0]-(28.31+37.8))))+0.073*(1-0.559)*_exp_((45.30+31.6-x[0])|_div_|64.31)|_div_|(1+_exp_((36.9-x[0])|_div_|03.97))*_sig_(0.2*(x[0]-(01.92+37.6))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [1, 2, 2, 2], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 3, 2, 0, 9, 0, 2, 5, 8, 1, 8, 0, 4, 0, 1, 6, 8, 3, 0, 8, 9, 7, 1, 6, 0, 7, 0, 5, 6, 2, 4, 0, 2, 8, 8, 7, 6, 0, 4, 8, 6, 2, 0, 3, 9, 5, 0, 8, 7, 1, 0, 7]]",0.006962535094031237,"[1, 1, 1, 1, 3, 2, 1, 6, 2, 4, 2, 7, 4, 6, 6, 52]",6,(0.232*(1-0.090*(x[0]-32.5)|_div_|81.80)|_div_|(1+_exp_((34.0-x[0])|_div_|16.83)))*(1-_sig_(0.2*(x[0]-(08.97+31.6))))+0.070*(1-0.562)*_exp_((40.28+38.7-x[0])|_div_|60.48)|_div_|(1+_exp_((36.2-x[0])|_div_|03.95))*_sig_(0.2*(x[0]-(08.71+30.7))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [1, 2, 0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [5, 3, 2, 0, 3, 7, 7, 5, 6, 1, 7, 0, 4, 0, 1, 6, 8, 0, 0, 8, 9, 7, 1, 0, 0, 7, 0, 5, 7, 8, 4, 0, 7, 2, 8, 7, 6, 1, 7, 1, 6, 2, 0, 3, 9, 5, 0, 8, 7, 6, 0, 7]]",0.007006617597820396,"[1, 1, 1, 1, 3, 2, 1, 6, 2, 4, 2, 7, 4, 6, 6, 52]",6,(0.532*(1-0.037*(x[0]-37.5)|_div_|61.70)|_div_|(1+_exp_((34.0-x[0])|_div_|16.80)))*(1-_sig_(0.2*(x[0]-(08.97+31.0))))+0.070*(1-0.578)*_exp_((40.72+38.7-x[0])|_div_|61.71)|_div_|(1+_exp_((36.2-x[0])|_div_|03.95))*_sig_(0.2*(x[0]-(08.76+30.7))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0], [0], [0], [0, 0, 0], [0, 0], [0], [0, 0, 0, 0, 0, 0], [0, 0], [1, 0, 1, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [2, 3, 5, 2, 9, 6, 2, 9, 9, 1, 1, 0, 4, 0, 3, 6, 6, 3, 3, 0, 5, 7, 1, 1, 0, 7, 5, 5, 6, 9, 4, 5, 2, 0, 6, 5, 6, 0, 5, 8, 6, 9, 0, 3, 9, 7, 0, 1, 7, 1, 7, 7]]",0.007149539987593652,"[1, 1, 1, 1, 3, 2, 1, 6, 2, 4, 2, 7, 4, 6, 6, 52]",6,(0.235*(1-0.296*(x[0]-32.9)|_div_|91.10)|_div_|(1+_exp_((34.0-x[0])|_div_|36.63)))*(1-_sig_(0.2*(x[0]-(30.57+31.1))))+0.075*(1-0.569)*_exp_((45.20+36.5-x[0])|_div_|60.58)|_div_|(1+_exp_((36.9-x[0])|_div_|03.97))*_sig_(0.2*(x[0]-(01.71+37.7))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
