,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
0,"[[0], [0, 3, 4, 0, 3, 3], [], [], [0, 0, 0], [], [0, 0, 0], [0, 0, 0], [2, 1], [], [0, 0], [0, 0, 0, 0, 0], [], [], [], [0, 0, 0, 0, 0], [], [0, 0, 0], [0, 0, 0, 0, 0]]",0.05466902817101944,5,(1-_sig_(0.2*(x[0]-(18.975+33.941))))*_exp_((18.975+33.941-x[0])|_div_|40.076)*1 + _sig_(0.2*(x[0]-(18.975+33.941)))*_exp_((18.975+33.941-x[0])|_div_|40.076)-_exp_((18.975+33.941-x[0])|_div_|40.076),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 6, 0, 0, 3, 0, 3, 3, 2, 0, 2, 5, 0, 0, 0, 5, 0, 3, 5]"
1,"[[0], [0, 3, 3, 3], [], [], [0, 0, 0], [], [0, 0, 0], [0, 0, 0], [1], [], [0, 0], [0, 0, 0, 0, 0], [], [], [], [0, 0, 0, 0, 0], [], [0, 0, 0], [0, 0, 0, 0, 0]]",0.05466902817101945,5,(1-_sig_(0.2*(x[0]-(18.975+33.941))))*_exp_((18.975+33.941-x[0])|_div_|40.076)-_exp_((18.975+33.941-x[0])|_div_|40.076) + _sig_(0.2*(x[0]-(18.975+33.941)))*_exp_((18.975+33.941-x[0])|_div_|40.076),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 0, 0, 3, 0, 3, 3, 1, 0, 2, 5, 0, 0, 0, 5, 0, 3, 5]"
2,"[[0], [0, 3, 3, 3], [], [], [0, 0, 0], [], [0, 0, 0], [0, 0, 0], [1], [], [0, 0], [0, 0, 0, 0, 0], [], [], [], [0, 0, 0, 0, 0], [], [0, 0, 0], [0, 0, 0, 0, 0]]",0.05466902817101945,5,(1-_sig_(0.2*(x[0]-(18.975+33.941))))*_exp_((18.975+33.941-x[0])|_div_|40.076)-_exp_((18.975+33.941-x[0])|_div_|40.076) + _sig_(0.2*(x[0]-(18.975+33.941)))*_exp_((18.975+33.941-x[0])|_div_|40.076),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 0, 0, 3, 0, 3, 3, 1, 0, 2, 5, 0, 0, 0, 5, 0, 3, 5]"
3,"[[0], [1, 3, 3, 1, 3, 3], [], [], [0, 0, 0, 0], [], [0, 0, 0, 0], [0, 0, 0, 0], [1, 1], [], [0, 0], [0, 0, 0, 0, 0, 0], [], [], [], [0, 0, 0, 0, 0, 0], [], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",0.05466902817101945,5,(1-_sig_(0.2*(x[0]-(18.975+33.941))))*(_exp_((18.975+33.941-x[0])|_div_|40.076)-_exp_((18.975+33.941-x[0])|_div_|40.076)) + _sig_(0.2*(x[0]-(18.975+33.941)))*(_exp_((18.975+33.941-x[0])|_div_|40.076)-_exp_((18.975+33.941-x[0])|_div_|40.076)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 6, 0, 0, 4, 0, 4, 4, 2, 0, 2, 6, 0, 0, 0, 6, 0, 4, 6]"
4,"[[0], [4, 0, 4, 4], [], [], [], [], [], [], [1], [], [0, 0], [0, 0], [], [], [], [0, 0], [], [], [0, 0]]",0.05466902817101945,3,(1-_sig_(0.2*(x[0]-(18.975+33.941))))*1 + _sig_(0.2*(x[0]-(18.975+33.941)))*1-1,"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 2, 0, 0, 2]"
5,"[[0], [0, 3, 3, 1, 3, 4], [], [], [0, 0, 0], [], [0, 0, 0], [0, 0, 0], [1, 2], [], [0, 0], [0, 0, 0, 0, 0], [], [], [], [0, 0, 0, 0, 0], [], [0, 0, 0], [0, 0, 0, 0, 0]]",0.05466902817101945,5,(1-_sig_(0.2*(x[0]-(18.975+33.941))))*_exp_((18.975+33.941-x[0])|_div_|40.076)-_exp_((18.975+33.941-x[0])|_div_|40.076) + _sig_(0.2*(x[0]-(18.975+33.941)))*(_exp_((18.975+33.941-x[0])|_div_|40.076)*1),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 6, 0, 0, 3, 0, 3, 3, 2, 0, 2, 5, 0, 0, 0, 5, 0, 3, 5]"
6,"[[0], [0, 3, 3, 3], [], [], [0, 0, 0], [], [0, 0, 0], [0, 0, 0], [1], [], [0, 0], [0, 0, 0, 0, 0], [], [], [], [0, 0, 0, 0, 0], [], [0, 0, 0], [0, 0, 0, 0, 0]]",0.05466902817101945,5,(1-_sig_(0.2*(x[0]-(18.975+33.941))))*_exp_((18.975+33.941-x[0])|_div_|40.076)-_exp_((18.975+33.941-x[0])|_div_|40.076) + _sig_(0.2*(x[0]-(18.975+33.941)))*_exp_((18.975+33.941-x[0])|_div_|40.076),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 0, 0, 3, 0, 3, 3, 1, 0, 2, 5, 0, 0, 0, 5, 0, 3, 5]"
7,"[[0], [4, 0, 4, 4], [], [], [], [], [], [], [1], [], [0, 0], [0, 0], [], [], [], [0, 0], [], [], [0, 0]]",0.05466902817101945,3,(1-_sig_(0.2*(x[0]-(18.975+33.941))))*1 + _sig_(0.2*(x[0]-(18.975+33.941)))*1-1,"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 2, 0, 0, 2]"
8,"[[0], [4, 0, 4, 4], [], [], [], [], [], [], [1], [], [0, 0], [0, 0], [], [], [], [0, 0], [], [], [0, 0]]",0.05466902817101945,3,(1-_sig_(0.2*(x[0]-(18.975+33.941))))*1 + _sig_(0.2*(x[0]-(18.975+33.941)))*1-1,"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 2, 0, 0, 2]"
9,"[[0], [1, 4, 4, 0, 4, 4], [], [], [], [], [], [], [2, 1], [], [0, 0], [0, 0], [], [], [], [0, 0], [], [], [0, 0]]",0.05466902817101945,3,(1-_sig_(0.2*(x[0]-(18.975+33.941))))*(1*1) + _sig_(0.2*(x[0]-(18.975+33.941)))*1-1,"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 6, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 2, 0, 0, 2]"
