,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0, 1, 0, 1, 2, 4], [3, 0], [3, 2], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0], [0, 2, 4, 3, 2, 0, 1, 4, 1, 1, 3, 4, 0, 7, 0, 7, 6, 1, 1, 7, 0, 0]]",0.006536549151297144,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.024+(((_sig_(0.320*(x[0]-14.11))))|_div_|(((_exp_((x[0]-34.07)|_div_|07.61)))+(17.00))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0, 1, 0, 1, 2], [3, 0], [3, 2], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 2, 1, 7, 2, 1, 3, 1, 4, 3, 5, 7, 1, 0, 4, 9, 7, 1, 3, 5, 8]]",0.006549340576515523,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.022+(((_sig_(0.172*(x[0]-13.14))))|_div_|(((_exp_((x[0]-35.71)|_div_|04.97)))+(13.58))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0, 1, 0, 1, 2], [3, 0], [3, 2], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0], [0, 2, 4, 3, 6, 0, 1, 4, 8, 1, 3, 1, 6, 7, 0, 7, 6, 1, 1, 7, 0, 8]]",0.006668493289210529,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.024+(((_sig_(0.360*(x[0]-14.81))))|_div_|(((_exp_((x[0]-31.67)|_div_|07.61)))+(17.08))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0, 1, 0, 1, 2], [3, 0, 3], [3, 1], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 0, 1, 7, 3, 1, 4, 0, 1, 3, 1, 0, 9, 0, 5, 9, 7, 1, 7, 2, 7]]",0.006695288400276551,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.030+(((_sig_(0.173*(x[0]-14.01))))|_div_|(((_exp_((x[0]-31.09)|_div_|05.97)))+(17.27))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0, 1, 0, 1, 2], [3, 0], [3, 2], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 0, 1, 8, 3, 1, 4, 1, 1, 3, 1, 7, 9, 0, 6, 9, 8, 1, 7, 2, 7]]",0.006712563380852731,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.030+(((_sig_(0.183*(x[0]-14.11))))|_div_|(((_exp_((x[0]-31.79)|_div_|06.98)))+(17.27))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0, 1, 0, 1, 2], [3, 0], [3, 1], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 0, 1, 8, 3, 1, 4, 1, 1, 3, 1, 7, 9, 0, 6, 9, 8, 1, 7, 2, 7]]",0.006712563380852731,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.030+(((_sig_(0.183*(x[0]-14.11))))|_div_|(((_exp_((x[0]-31.79)|_div_|06.98)))+(17.27))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0, 1, 0, 1, 2, 4], [3, 0], [3, 2], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 4, 3, 6, 0, 1, 4, 6, 1, 3, 4, 0, 7, 0, 7, 6, 1, 1, 7, 0, 8]]",0.006803344912392871,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.024+(((_sig_(0.360*(x[0]-14.61))))|_div_|(((_exp_((x[0]-34.07)|_div_|07.61)))+(17.08))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0, 1, 0, 1, 2, 4], [3, 0], [3, 2], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0], [0, 2, 4, 3, 6, 0, 1, 4, 6, 1, 3, 4, 0, 7, 0, 7, 6, 1, 1, 7, 0, 8]]",0.006803344912392871,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.024+(((_sig_(0.360*(x[0]-14.61))))|_div_|(((_exp_((x[0]-34.07)|_div_|07.61)))+(17.08))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 1, 0, 1, 2], [3, 0], [3, 2], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 3, 2, 4, 3, 1, 2, 4, 2, 3, 1, 9, 3, 0, 6, 1, 1, 1, 5, 8, 8]]",0.006816624855867671,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.023+(((_sig_(0.243*(x[0]-12.42))))|_div_|(((_exp_((x[0]-31.93)|_div_|06.11)))+(15.88))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0, 1, 0, 1, 2, 1, 0, 1], [3, 0], [3, 1], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0], [0, 3, 2, 2, 8, 0, 1, 4, 9, 7, 3, 1, 7, 5, 0, 5, 9, 1, 1, 7, 1, 8]]",0.0069280470273091,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.032+(((_sig_(0.280*(x[0]-14.97))))|_div_|(((_exp_((x[0]-31.75)|_div_|05.91)))+(17.18))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
10,"[[0], [0, 1, 0, 1, 2], [3, 0], [3, 1], [0, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0], [0, 3, 2, 2, 4, 3, 1, 7, 1, 8, 3, 0, 9, 9, 0, 6, 6, 1, 1, 7, 2, 4]]",0.007010524346017123,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.032+(((_sig_(0.243*(x[0]-17.18))))|_div_|(((_exp_((x[0]-30.99)|_div_|06.61)))+(17.24))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
