,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0, 1, 0, 3, 1, 0, 3], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 1, 3, 0, 5, 1, 9, 7, 3, 9, 1, 4, 2, 8, 6, 8, 0, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.0039764013409264104,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+(((_sig_(0.305*(x[0]-19.73))))|_div_|((x[0])*((_exp_((x[0]-91.42)|_div_|86.80))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0, 1, 1, 1, 1, 2, 2], [3, 3, 1], [3, 0, 0, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 5, 4, 2, 2, 1, 7, 8, 2, 3, 1, 0, 0, 8, 2, 0, 8, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.004005568260500113,"[1, 5, 1, 4, 0, 3, 2, 18]",10,0.025+(((_sig_(0.422*(x[0]-17.82))))|_div_|((_exp_((_exp_((_exp_((x[0]-31.00)|_div_|82.08)))))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0, 1, 0, 3, 1, 0, 3], [3, 2, 0], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 1, 2, 8, 0, 1, 9, 8, 6, 9, 2, 4, 6, 7, 6, 6, 1, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.0040437531984325046,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+(((_sig_(0.280*(x[0]-19.86))))|_div_|((x[0])*((_exp_((x[0]-92.46)|_div_|76.61))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0, 0, 1, 3, 1, 2, 2], [3, 3, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 1, 3, 1, 0, 1, 9, 4, 3, 9, 2, 1, 2, 8, 6, 8, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.004141791888743681,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+((((_sig_(0.310*(x[0]-19.43))))|_div_|(x[0]))|_div_|((_exp_((x[0]-92.12)|_div_|86.82)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0, 0, 1, 3, 1, 2, 2], [3, 3, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 1, 3, 1, 0, 1, 9, 4, 0, 9, 3, 1, 2, 8, 6, 8, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.004182115108658508,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.021+((((_sig_(0.310*(x[0]-19.40))))|_div_|(x[0]))|_div_|((_exp_((x[0]-93.12)|_div_|86.82)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 2, 2, 8, 0, 1, 9, 4, 2, 8, 2, 7, 6, 8, 6, 6, 5, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.004306970714652171,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.022+(((_sig_(0.280*(x[0]-19.42))))|_div_|((x[0])*((_exp_((x[0]-82.76)|_div_|86.65))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0, 1, 1, 1, 1, 2, 2], [3, 2, 1], [3, 0, 0, 2], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 5, 4, 2, 2, 1, 7, 4, 6, 3, 2, 0, 0, 8, 2, 0, 8, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.004426080200236144,"[1, 5, 1, 4, 0, 3, 2, 18]",10,0.025+(((_sig_(0.422*(x[0]-17.46))))|_div_|((_exp_((_exp_((_exp_((x[0]-32.00)|_div_|82.08)))))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0, 1, 0, 2, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 9, 1, 5, 9, 1, 2, 7, 2, 7, 0, 3, 4, 9, 1, 6, 7, 4, 1, 5, 2, 0, 4, 2, 1, 3, 6, 9, 0]]",0.0044880735973902896,"[1, 5, 2, 2, 0, 4, 2, 22]",7,0.019+(((_sig_(0.159*(x[0]-12.72))))|_div_|((70.34)*((_exp_((x[0]-91.67)|_div_|41.52))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 1, 0, 3, 1, 0, 3], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 4, 3, 0, 0, 1, 9, 7, 3, 9, 1, 4, 2, 8, 6, 8, 0, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.00451798228797126,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.024+(((_sig_(0.300*(x[0]-19.73))))|_div_|((x[0])*((_exp_((x[0]-91.42)|_div_|86.80))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0, 1, 0, 3, 1, 2, 2], [3, 2, 2], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 2, 2, 4, 2, 1, 9, 1, 2, 8, 9, 7, 2, 9, 6, 0, 2, 4, 1, 0, 6, 0, 4, 2, 1, 3, 6, 9, 0]]",0.004544155646941227,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.022+(((_sig_(0.242*(x[0]-19.12))))|_div_|((x[0])*((_exp_((x[0]-89.72)|_div_|96.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
