,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0, 1, 0, 1, 3], [3, 2, 2, 0, 2], [3, 1, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 2, 3, 3, 1, 9, 1, 8, 1, 6, 8, 1, 0, 3, 7, 7, 7, 3]]",0.010744864864033392,"[1, 5, 2, 2, 1, 0, 3, 2, 18]",7,0.023+(((_sig_(0.319*(x[0]-18.16))))|_div_|(((_exp_((x[0]-81.03)|_div_|77.73)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0, 1, 0, 1, 3], [3, 2, 2, 0, 2], [3, 1, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 2, 2, 3, 1, 9, 1, 8, 1, 6, 8, 7, 0, 3, 7, 7, 7, 3]]",0.01120823933550745,"[1, 5, 2, 2, 1, 0, 3, 2, 18]",7,0.022+(((_sig_(0.319*(x[0]-18.16))))|_div_|(((_exp_((x[0]-87.03)|_div_|77.73)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0, 1, 0, 1, 3], [3, 2, 2, 0, 2], [3, 2, 3], [0, 0], [], [0, 0, 0], [0, 0], [0, 2, 8, 5, 1, 9, 1, 8, 3, 6, 5, 7, 0, 0, 7, 7, 9, 6]]",0.012818035895326228,"[1, 5, 2, 2, 1, 0, 3, 2, 18]",7,0.028+(((_sig_(0.519*(x[0]-18.36))))|_div_|(((_exp_((x[0]-57.00)|_div_|77.96)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0, 1, 0, 1, 3], [3, 2, 2, 0, 2], [3, 2, 3], [0, 0], [], [0, 0, 0], [0, 0], [0, 2, 9, 7, 1, 9, 1, 8, 3, 6, 5, 7, 0, 0, 7, 7, 9, 6]]",0.013400318721536525,"[1, 5, 2, 2, 1, 0, 3, 2, 18]",7,0.029+(((_sig_(0.719*(x[0]-18.36))))|_div_|(((_exp_((x[0]-57.00)|_div_|77.96)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0, 1, 0, 1, 2, 2], [3, 2, 2, 0, 2], [3, 1, 3], [0, 0, 0, 0, 0], [], [0, 0, 0, 0], [0, 0, 0], [0, 2, 2, 7, 1, 7, 1, 3, 5, 7, 5, 7, 0, 0, 6, 2, 9, 6, 3, 1, 1, 0]]",0.013952816376184321,"[1, 5, 2, 2, 0, 0, 4, 2, 22]",7,0.022+(((_sig_(0.717*(x[0]-13.57))))|_div_|(((_exp_((x[0]-57.00)|_div_|62.96)))*(31.10))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0, 1, 0, 1, 3], [3, 2, 2, 0, 2], [3, 1, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 5, 3, 7, 2, 1, 8, 5, 7, 5, 7, 2, 3, 9, 6, 7, 2]]",0.014032652666782112,"[1, 5, 2, 2, 1, 0, 3, 2, 18]",7,0.035+(((_sig_(0.372*(x[0]-18.57))))|_div_|(((_exp_((x[0]-57.23)|_div_|96.72)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0, 1, 0, 3, 1, 2], [3, 2, 0, 0, 2, 1], [3, 2, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 2, 9, 4, 8, 3, 1, 4, 2, 3, 5, 0, 2, 3, 9, 4, 0, 3]]",0.014582281938481554,"[1, 5, 2, 2, 1, 0, 3, 2, 18]",7,0.029+(((_sig_(0.483*(x[0]-14.23))))|_div_|((x[0])*((_exp_((x[0]-50.23)|_div_|94.03))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0, 1, 0, 0, 2, 2, 3], [3, 3, 2], [3, 1, 3], [0, 0], [], [0, 0, 0, 0, 0], [0, 0], [0, 2, 9, 4, 8, 3, 1, 4, 2, 1, 5, 7, 2, 3, 7, 4, 0, 3]]",0.015066080589147749,"[1, 7, 3, 1, 1, 0, 3, 2, 18]",7,0.029+(((_sig_(0.483*(x[0]-14.21))))|_div_|(((57.23)|_div_|(74.03))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 1, 0, 0, 2, 2, 3], [3, 3, 2], [3, 0, 3], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [0, 2, 9, 4, 8, 3, 1, 4, 2, 1, 5, 7, 2, 4, 7, 4, 4, 3]]",0.015078493908314687,"[1, 7, 3, 1, 1, 0, 3, 2, 18]",7,0.029+(((_sig_(0.483*(x[0]-14.21))))|_div_|(((57.24)|_div_|(74.43))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0, 1, 0, 1, 3], [3, 2, 2, 0, 2], [3, 2, 3], [0, 0], [], [0, 0, 0], [0, 0], [0, 2, 9, 3, 1, 9, 1, 4, 3, 5, 5, 7, 0, 0, 6, 7, 9, 6]]",0.015514749472868055,"[1, 5, 2, 2, 1, 0, 3, 2, 18]",7,0.029+(((_sig_(0.319*(x[0]-14.35))))|_div_|(((_exp_((x[0]-57.00)|_div_|67.96)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
10,"[[0], [0, 1, 0, 3, 1, 2], [3, 2, 2, 0, 2], [3, 1, 3], [0, 0], [], [0, 0, 0], [0, 0], [0, 3, 1, 3, 3, 9, 1, 4, 2, 3, 3, 4, 7, 2, 5, 9, 0, 7]]",0.015562688798787472,"[1, 5, 2, 2, 1, 0, 3, 2, 18]",7,0.031+(((_sig_(0.339*(x[0]-14.23))))|_div_|((x[0])*((_exp_((x[0]-34.72)|_div_|59.07))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
11,"[[0], [0, 1, 0, 3, 1, 2], [3, 2, 0, 0, 2, 1], [3, 2, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 8, 2, 3, 9, 1, 8, 7, 2, 3, 0, 7, 2, 5, 8, 0, 7]]",0.015711701396918683,"[1, 5, 2, 2, 1, 0, 3, 2, 18]",7,0.038+(((_sig_(0.239*(x[0]-18.72))))|_div_|((x[0])*((_exp_((x[0]-30.72)|_div_|58.07))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
12,"[[0], [0, 1, 0, 3, 1, 2], [3, 2, 0, 0, 2, 1], [3, 2, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 1, 2, 3, 9, 1, 8, 2, 2, 3, 0, 8, 2, 5, 9, 0, 7]]",0.015773491481792874,"[1, 5, 2, 2, 1, 0, 3, 2, 18]",7,0.031+(((_sig_(0.239*(x[0]-18.22))))|_div_|((x[0])*((_exp_((x[0]-30.82)|_div_|59.07))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
13,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 1, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 4, 9, 9, 5, 7, 2, 3]]",0.01582167411879071,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-14.99))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
14,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 4, 9, 9, 5, 7, 2, 3]]",0.01582167411879071,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-14.99))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
15,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 0, 3], [0, 0], [], [0, 0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 4, 9, 9, 5, 7, 2, 3]]",0.01582167411879071,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-14.99))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
16,"[[0], [0, 1, 3], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0, 0, 0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 4, 9, 6, 5, 7, 2, 3]]",0.015822044271248874,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-14.96))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
17,"[[0], [0, 1, 3], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [0, 0], [0, 0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 4, 9, 6, 5, 7, 2, 3]]",0.015822044271248874,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-14.96))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
18,"[[0], [0, 1, 3, 1, 2], [3, 3, 1], [3, 0, 3], [0, 0], [0, 0], [0, 0], [0, 0], [0, 3, 0, 3, 7, 7, 1, 5, 1, 5, 5, 7, 2, 3]]",0.015822187596128752,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.377*(x[0]-15.15))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
19,"[[0], [0, 1, 3], [3, 1, 0, 1, 1], [3, 1, 3], [0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 6, 5, 1, 4, 9, 6, 5, 7, 2, 3]]",0.0158223633484751,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.365*(x[0]-14.96))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
20,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 4, 9, 3, 5, 7, 2, 3]]",0.01582251224631438,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-14.93))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
21,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 4, 9, 3, 5, 7, 2, 3]]",0.01582251224631438,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-14.93))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
22,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 4, 9, 3, 5, 7, 2, 3]]",0.01582251224631438,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-14.93))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
23,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [0, 0], [0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 4, 9, 3, 5, 7, 2, 3]]",0.01582251224631438,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-14.93))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
24,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 4, 9, 3, 5, 7, 2, 3]]",0.01582251224631438,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-14.93))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
25,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 0, 3], [0, 0], [0, 0], [0, 0], [0, 0], [0, 3, 0, 3, 6, 7, 1, 4, 9, 3, 5, 7, 2, 3]]",0.01582264140144793,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.367*(x[0]-14.93))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
26,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 7, 7, 1, 5, 2, 0, 8, 3, 2, 3]]",0.01582272275964141,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.377*(x[0]-15.20))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
27,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 1, 3], [0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 6, 6, 1, 4, 9, 3, 5, 7, 2, 3]]",0.015822743506605497,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.366*(x[0]-14.93))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
28,"[[0], [0, 1, 3], [3, 3, 1], [3, 0, 3], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 3, 1, 5, 0, 6, 8, 3, 2, 3]]",0.015823204644163705,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.383*(x[0]-15.06))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
29,"[[0], [0, 1, 3], [3, 2, 2, 0, 2], [3, 1, 3], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 3, 1, 5, 1, 1, 8, 3, 2, 3]]",0.015823335513117907,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.383*(x[0]-15.11))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
30,"[[0], [0, 1, 3], [3, 3, 1], [3, 0, 3], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 3, 1, 5, 1, 1, 8, 3, 2, 3]]",0.015823335513117907,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.383*(x[0]-15.11))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
31,"[[0], [0, 1, 3], [3, 2, 2, 0, 2], [3, 2, 3], [0, 0], [0, 0], [0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 3, 1, 5, 1, 1, 8, 3, 2, 3]]",0.015823335513117907,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.383*(x[0]-15.11))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
32,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 6, 2, 1, 4, 9, 3, 5, 7, 2, 3]]",0.015823415887933012,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.362*(x[0]-14.93))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
33,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 0, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 5, 5, 1, 5, 1, 7, 8, 3, 2, 3]]",0.015823487693760834,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.355*(x[0]-15.17))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
34,"[[0], [0, 1, 3, 3, 4, 4, 1, 1], [3, 2, 2, 0, 2], [3, 0, 3], [0, 0, 0, 0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 4, 1, 5, 1, 0, 8, 3, 2, 3]]",0.015823578585479198,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.384*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
35,"[[0], [0, 1, 3, 3, 4, 4, 1, 1], [3, 2, 2, 0, 2], [3, 1, 3], [0, 0, 0, 0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 4, 1, 5, 1, 0, 8, 3, 2, 3]]",0.015823578585479198,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.384*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
36,"[[0], [0, 1, 3, 3, 4, 4, 1, 1], [3, 1, 0, 1, 1], [3, 1, 3], [0, 0], [0, 0], [0, 0], [0, 0], [0, 3, 0, 3, 5, 9, 1, 4, 9, 6, 5, 7, 2, 3]]",0.015823637939853002,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.359*(x[0]-14.96))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
37,"[[0], [0, 1, 3, 3, 4, 4, 1, 1], [3, 3, 2], [3, 1, 3], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 4, 1, 5, 1, 3, 8, 3, 2, 3]]",0.015823754394245826,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.384*(x[0]-15.13))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
38,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0, 0], [0, 0], [0, 3, 0, 3, 6, 2, 1, 4, 9, 1, 5, 7, 2, 3]]",0.015823832316675144,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.362*(x[0]-14.91))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
39,"[[0], [0, 1, 3, 1, 2], [3, 0, 2, 0, 2], [3, 0, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 5, 1, 5, 1, 0, 8, 3, 2, 3]]",0.01582388440973435,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.385*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
40,"[[0], [0, 1, 3, 1, 2], [3, 1, 2], [3, 0, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 5, 1, 5, 1, 0, 8, 3, 2, 3]]",0.01582388440973435,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.385*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
41,"[[0], [0, 1, 3], [3, 0, 2, 0, 2], [3, 0, 3], [0, 0], [0], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 5, 1, 5, 1, 0, 8, 3, 2, 3]]",0.01582388440973435,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.385*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
42,"[[0], [0, 1, 3, 1, 2], [3, 0, 2, 0, 2], [3, 0, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 5, 1, 5, 1, 0, 8, 3, 2, 3]]",0.01582388440973435,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.385*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
43,"[[0], [0, 1, 3], [3, 2, 2, 0, 2], [3, 1, 3], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 3, 1, 5, 1, 8, 8, 3, 2, 3]]",0.015823947260354878,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.383*(x[0]-15.18))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
44,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 0, 3], [0, 0], [], [0, 0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 3, 1, 5, 1, 8, 8, 3, 2, 3]]",0.015823947260354878,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.383*(x[0]-15.18))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
45,"[[0], [0, 1, 3], [3, 2, 0, 0, 2, 1], [3, 2, 3], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 3, 1, 5, 1, 9, 8, 3, 2, 3]]",0.015824075131164978,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.383*(x[0]-15.19))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
46,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 0, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 4, 1, 5, 1, 7, 8, 3, 2, 3]]",0.015824130904259725,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.384*(x[0]-15.17))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
47,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 0, 3], [0, 0], [0], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 4, 1, 5, 1, 7, 8, 3, 2, 3]]",0.015824130904259725,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.384*(x[0]-15.17))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
48,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 0, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 5, 1, 5, 1, 7, 8, 3, 2, 3]]",0.015824448013412897,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.385*(x[0]-15.17))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
49,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 1, 3], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 5, 1, 5, 1, 7, 8, 3, 2, 3]]",0.015824448013412897,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.385*(x[0]-15.17))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
50,"[[0], [0, 1, 3], [3, 1, 0, 1, 1], [3, 1, 3], [0, 0, 0, 0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 4, 0, 1, 4, 9, 6, 5, 7, 2, 3]]",0.015835592432707126,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.340*(x[0]-14.96))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
51,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 6, 9, 1, 5, 9, 7, 5, 7, 2, 3]]",0.015859942988849466,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.369*(x[0]-15.97))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
52,"[[0], [0, 1, 3], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0, 0, 0, 0], [], [0, 0], [0, 0], [0, 3, 0, 3, 6, 8, 1, 3, 9, 6, 5, 7, 2, 3]]",0.015894956707379636,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.368*(x[0]-13.96))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
53,"[[0], [0, 1, 3], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 2, 8, 3, 6, 1, 1, 4, 9, 5, 5, 7, 2, 3]]",0.015987387737206645,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.028+(((_sig_(0.361*(x[0]-14.95))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
54,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 0, 3], [0, 0], [], [0, 0, 0], [0, 0], [0, 3, 2, 6, 0, 8, 1, 5, 1, 7, 4, 3, 9, 8]]",0.016060172695830124,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.032+(((_sig_(0.608*(x[0]-15.17))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
55,"[[0], [0, 1, 3, 1, 2], [3, 1, 0, 1, 1], [3, 0, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 6, 1, 7, 7, 0, 8, 3, 2, 3]]",0.016136961685043503,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.386*(x[0]-17.70))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
56,"[[0], [0, 1, 3], [3, 1, 0, 1, 1], [3, 1, 3], [0, 0], [], [0, 0], [0, 0], [0, 3, 0, 8, 6, 5, 1, 4, 9, 6, 9, 7, 2, 3]]",0.016186887075572243,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.865*(x[0]-14.96))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
57,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 0, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 6, 1, 2, 1, 7, 8, 3, 2, 3]]",0.016356710916460848,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.030+(((_sig_(0.386*(x[0]-12.17))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
58,"[[0], [0, 1, 3, 1, 3], [3, 3, 2, 0, 2], [3, 1, 3], [0, 0], [], [0, 0, 0, 0], [0, 0], [0, 2, 9, 3, 3, 9, 1, 8, 1, 8, 8, 7, 0, 9, 1, 4, 7, 3]]",0.01638845660801969,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.029+(((_sig_(0.339*(x[0]-18.18))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
59,"[[0], [0, 1, 3, 1, 2], [3, 2, 2, 0, 2], [3, 1, 3], [0, 0], [0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 6, 3, 9, 0, 1, 5, 1, 7, 8, 3, 2, 3]]",0.01676919695063052,"[1, 3, 1, 1, 1, 0, 1, 2, 10]",6,0.036+(((_sig_(0.390*(x[0]-15.17))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
