,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0, 1, 0, 1, 2, 0, 3, 1, 3, 3, 1, 1, 0], [3, 0, 1, 0, 3, 1, 2, 3, 3], [3, 2, 2], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 6, 5, 6, 9, 1, 4, 1, 7, 4, 4, 2, 3, 0, 2, 1, 9, 3, 4, 5, 5]]",0.007544235115057714,"[1, 5, 2, 2, 0, 4, 2, 22]",7,0.036+(((_sig_(0.569*(x[0]-14.17))))|_div_|(((_exp_((x[0]-44.23)|_div_|02.19)))+(34.55))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0, 1, 0, 3, 1, 1, 3, 3, 1, 3, 1, 1, 0], [3, 0, 1, 0, 3, 1, 2, 3, 3], [3, 1, 1], [0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 8, 4, 8, 2, 1, 5, 1, 6, 5, 5, 0, 1, 0, 0, 4, 2, 3]]",0.007873717549431579,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.038+(((_sig_(0.482*(x[0]-15.16))))|_div_|((x[0])+((_exp_((x[0]-55.01)|_div_|00.42))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0, 1, 0, 1, 3, 2, 3, 3, 3, 3, 1, 1, 0], [3, 0, 1, 0, 3, 1, 2, 3, 3], [3, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 3, 8, 3, 7, 9, 1, 6, 1, 9, 3, 7, 2, 1, 0, 4, 4, 8, 3]]",0.007876327508484215,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.038+(((_sig_(0.379*(x[0]-16.19))))|_div_|(((_exp_((x[0]-37.21)|_div_|04.48)))+(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0, 1, 0, 1, 3, 0, 3, 3, 1, 3, 1, 1, 0], [3, 0, 0, 0], [3, 2], [0, 0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 3, 6, 3, 1, 3, 1, 5, 2, 7, 4, 8, 5, 6, 0, 0, 4, 8, 3]]",0.007907155934270972,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.036+(((_sig_(0.313*(x[0]-15.27))))|_div_|(((_exp_((x[0]-48.56)|_div_|00.48)))+(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0, 1, 0, 3, 1, 0, 3, 3, 1, 3, 1, 1, 0], [3, 0, 0, 0], [3, 2], [0, 0, 0], [0, 0, 0], [0, 0], [0, 3, 6, 3, 1, 3, 1, 5, 2, 7, 4, 8, 5, 6, 0, 0, 4, 8, 3]]",0.007907155934270972,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.036+(((_sig_(0.313*(x[0]-15.27))))|_div_|((x[0])+((_exp_((x[0]-48.56)|_div_|00.48))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0, 1, 0, 0, 3, 0, 3, 3, 1, 3, 1, 1, 0], [3, 0, 1, 0, 3, 1, 2, 3, 3], [3, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 3, 7, 6, 9, 6, 1, 5, 2, 1, 5, 5, 7, 6, 0, 0, 4, 4, 3]]",0.007982019034127439,"[1, 9, 4, 2, 3, 3, 2, 18]",7,0.037+(((_sig_(0.696*(x[0]-15.21))))|_div_|(((x[0])+((x[0])-(x[0])))+((_exp_((x[0]-55.76)|_div_|00.44))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0, 1, 0, 1, 3, 2, 3, 3, 3, 3, 1, 1, 0], [3, 0, 1, 0, 3, 1, 2, 3, 3], [3, 1], [0, 0, 0], [0, 0, 0], [0, 0], [0, 3, 8, 4, 6, 8, 1, 6, 1, 6, 3, 5, 9, 1, 0, 4, 4, 2, 3]]",0.008017962911974501,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.038+(((_sig_(0.468*(x[0]-16.16))))|_div_|(((_exp_((x[0]-35.91)|_div_|04.42)))+(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0, 1, 0, 0, 3, 0, 3, 3, 1, 3, 1, 1, 0], [3, 0, 1, 0, 3, 1, 2, 3, 3], [3, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 3, 8, 4, 6, 8, 1, 6, 1, 5, 3, 5, 7, 1, 0, 4, 4, 2, 3]]",0.00804086003101542,"[1, 9, 4, 2, 3, 3, 2, 18]",7,0.038+(((_sig_(0.468*(x[0]-16.15))))|_div_|(((x[0])+((x[0])-(x[0])))+((_exp_((x[0]-35.71)|_div_|04.42))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 1, 0, 0, 3, 0, 3, 3, 1, 3, 1, 1, 0], [3, 3, 3, 0, 3, 1, 2, 3, 3], [3, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 3, 8, 4, 6, 8, 1, 6, 1, 5, 3, 5, 3, 1, 0, 4, 4, 2, 3]]",0.008088712146948172,"[1, 9, 4, 2, 3, 3, 2, 18]",7,0.038+(((_sig_(0.468*(x[0]-16.15))))|_div_|(((x[0])|_div_|((x[0])|_div_|(x[0])))+((_exp_((x[0]-35.31)|_div_|04.42))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0, 1, 0, 1, 3, 0, 3, 3, 1, 3, 1, 1, 0], [3, 0, 1, 0, 3, 1, 2, 3, 3], [3, 1, 2], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 8, 3, 6, 8, 1, 6, 1, 5, 3, 7, 7, 1, 0, 5, 4, 2, 3]]",0.008149978234695002,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.038+(((_sig_(0.368*(x[0]-16.15))))|_div_|(((_exp_((x[0]-37.71)|_div_|05.42)))+(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
10,"[[0], [0, 1, 0, 1, 3, 2, 3, 3, 3, 3, 1, 1, 0], [3, 0, 1, 0, 3, 1, 2, 3, 3], [3, 2], [0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 4, 1, 3, 7, 4, 1, 9, 7, 4, 4, 5, 3, 0, 0, 1, 0, 2, 3]]",0.00815249931429484,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.041+(((_sig_(0.374*(x[0]-19.74))))|_div_|(((_exp_((x[0]-45.30)|_div_|01.02)))+(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
11,"[[0], [0, 1, 0, 1, 3, 1, 3, 3, 1, 3, 1, 1, 0], [3, 0, 0, 0, 3, 1, 2, 3, 3], [3, 2, 1], [0, 0, 0, 0], [0, 0, 0], [0, 0], [0, 3, 7, 4, 8, 9, 1, 9, 9, 9, 3, 9, 6, 1, 0, 4, 4, 5, 3]]",0.008159161591106646,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.037+(((_sig_(0.489*(x[0]-19.99))))|_div_|(((_exp_((x[0]-39.61)|_div_|04.45)))+(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
