,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0, 1, 0, 0, 1, 2, 2], [3, 3, 0], [3, 2], [0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 0, 1, 9, 9, 1, 5, 4, 7, 0, 7, 1, 5, 0, 5, 5, 9, 9, 2, 7, 0, 2, 5, 4, 2]]",0.006454727889943382,"[1, 7, 3, 2, 0, 5, 2, 26]",8,0.030+(((_sig_(0.199*(x[0]-15.47))))|_div_|((((_exp_((x[0]-07.15)|_div_|05.59)))|_div_|(92.70))+(25.42))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0, 1, 0, 1, 3, 1, 1, 3, 1, 3, 2], [3, 2, 1, 0], [3, 2, 0], [0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 9, 4, 0, 3, 1, 7, 3, 1, 4, 7, 8, 3, 6, 2, 6, 8]]",0.007630360163170866,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.029+(((_sig_(0.403*(x[0]-17.31))))|_div_|(((_exp_((x[0]-47.83)|_div_|62.68)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0, 1, 0, 1, 3, 1, 1, 3, 1, 3, 2], [3, 2, 1, 0], [3, 2, 0], [0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 9, 4, 8, 1, 1, 7, 3, 1, 4, 7, 8, 3, 6, 2, 6, 8]]",0.007965961005388766,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.029+(((_sig_(0.481*(x[0]-17.31))))|_div_|(((_exp_((x[0]-47.83)|_div_|62.68)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0, 1, 0, 3, 1], [3, 2, 0, 1, 1, 0], [3, 2], [0, 0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 2, 5, 5, 3, 1, 6, 4, 7, 4, 7, 4, 3, 6, 8, 4, 0]]",0.008894980274002097,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.032+(((_sig_(0.553*(x[0]-16.47))))|_div_|((x[0])*((_exp_((x[0]-47.43)|_div_|68.40))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0, 1, 0, 3, 1], [3, 2, 0, 1, 1, 0], [3, 2, 0, 1, 0], [0, 0], [0, 0, 0], [0, 0, 0, 0], [0, 3, 0, 3, 8, 1, 1, 5, 7, 4, 3, 6, 4, 1, 9, 7, 0, 2]]",0.009778345224683464,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.030+(((_sig_(0.381*(x[0]-15.74))))|_div_|((x[0])*((_exp_((x[0]-36.41)|_div_|97.02))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0, 1, 0, 3, 1], [3, 1, 0, 1, 1, 0], [3, 1, 0, 1, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0], [0, 3, 0, 3, 8, 1, 1, 5, 6, 4, 3, 7, 4, 1, 6, 7, 5, 2]]",0.01097942800189778,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.030+(((_sig_(0.381*(x[0]-15.64))))|_div_|((x[0])-((_exp_((x[0]-37.41)|_div_|67.52))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0, 1, 0, 3, 1], [3, 1, 0, 1, 1, 0], [3, 1, 0, 1, 0], [0, 0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 0, 3, 8, 1, 1, 5, 6, 4, 3, 7, 4, 1, 6, 7, 5, 2]]",0.01097942800189778,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.030+(((_sig_(0.381*(x[0]-15.64))))|_div_|((x[0])-((_exp_((x[0]-37.41)|_div_|67.52))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0, 1, 0, 3, 1], [3, 1, 0, 1, 1, 0], [3, 1, 0, 1, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 2, 3, 5, 3, 1, 6, 4, 4, 3, 7, 4, 3, 6, 7, 4, 0]]",0.011172528072519967,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.032+(((_sig_(0.353*(x[0]-16.44))))|_div_|((x[0])-((_exp_((x[0]-37.43)|_div_|67.40))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 1, 0, 3, 1], [3, 1, 0, 1, 1, 0], [3, 1, 0, 1, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 3, 0, 3, 7, 7, 1, 7, 0, 7, 4, 7, 6, 9, 6, 7, 4, 9]]",0.011205600607181487,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.030+(((_sig_(0.377*(x[0]-17.07))))|_div_|((x[0])-((_exp_((x[0]-47.69)|_div_|67.49))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0, 1, 0, 3, 1], [3, 1, 0, 1, 1, 0], [3, 2, 0, 1, 0], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 3, 0, 3, 6, 2, 1, 5, 6, 4, 3, 7, 4, 5, 2, 6, 4, 2]]",0.011220587293686407,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.030+(((_sig_(0.362*(x[0]-15.64))))|_div_|((x[0])-((_exp_((x[0]-37.45)|_div_|26.42))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
