,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
0,"[[0], [0], [], [0], [0], [0, 0], [0], [0], [0, 0], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [], [], [2, 0, 4, 5, 4, 2, 3, 2, 1, 3, 1, 3, 5, 2], [0], [], [], [0, 0, 0, 0, 0], [], []]",4.753216451709754,6,cte[2]*((1-cte[0]*(x[0]-cte[4])|_div_|cte[5])*(1-_sig_(0.2*(x[0]-(cte[4]+cte[2]))))+(1-cte[3])*_exp_((cte[2]+cte[1]-x[0])+cte[3])*_sig_(0.2*(x[0]-(cte[1]+cte[3]))))|_div_|(1+_exp_((cte[5]-x[0])+cte[2])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 5, 2, 0, 0, 14, 1, 0, 0, 5, 0, 0]"
1,"[[0], [0], [], [0], [0], [0, 0], [0], [0], [1, 1], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [], [], [0, 1, 5, 5, 2, 0, 1, 0, 5, 5, 0, 2, 5, 4], [0], [], [], [0, 0, 0, 0, 0], [], []]",5.0976613798714725,6,cte[0]*((1-cte[1]*(x[0]-cte[5])|_div_|cte[5])*(1-_sig_(0.2*(x[0]-(cte[2]+cte[0]))))+(1-cte[1])*_exp_((cte[0]+cte[5]-x[0])-cte[5])*_sig_(0.2*(x[0]-(cte[0]+cte[2]))))|_div_|(1+_exp_((cte[5]-x[0])-cte[4])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 5, 2, 0, 0, 14, 1, 0, 0, 5, 0, 0]"
2,"[[0], [0], [], [0], [0], [0, 0], [0], [0], [3, 0], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [], [], [0, 1, 2, 3, 0, 2, 3, 2, 2, 5, 0, 3, 1, 1], [0], [], [], [0, 0, 0, 0, 0], [], []]",5.333525611013423,6,cte[0]*((1-cte[1]*(x[0]-cte[2])|_div_|cte[3])*(1-_sig_(0.2*(x[0]-(cte[0]+cte[2]))))+(1-cte[3])*_exp_((cte[2]+cte[2]-x[0])|_div_|cte[5])*_sig_(0.2*(x[0]-(cte[0]+cte[3]))))|_div_|(1+_exp_((cte[1]-x[0])+cte[1])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 5, 2, 0, 0, 14, 1, 0, 0, 5, 0, 0]"
3,"[[0], [0], [], [0], [0], [0, 0], [0], [0], [1, 3], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [], [], [0, 3, 1, 1, 0, 1, 3, 2, 3, 1, 0, 0, 4, 5], [0], [], [], [0, 0, 0, 0, 0], [], []]",5.375062813775985,6,cte[0]*((1-cte[3]*(x[0]-cte[1])|_div_|cte[1])*(1-_sig_(0.2*(x[0]-(cte[0]+cte[1]))))+(1-cte[3])*_exp_((cte[2]+cte[3]-x[0])-cte[1])*_sig_(0.2*(x[0]-(cte[0]+cte[0]))))|_div_|(1+_exp_((cte[4]-x[0])|_div_|cte[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 5, 2, 0, 0, 14, 1, 0, 0, 5, 0, 0]"
4,"[[0], [0], [], [0], [0], [0, 0], [0], [0], [1, 1], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [], [], [4, 0, 1, 2, 0, 4, 3, 0, 3, 3, 0, 0, 1, 3], [0], [], [], [0, 0, 0, 0, 0], [], []]",5.415352082185693,6,cte[4]*((1-cte[0]*(x[0]-cte[1])|_div_|cte[2])*(1-_sig_(0.2*(x[0]-(cte[0]+cte[4]))))+(1-cte[3])*_exp_((cte[0]+cte[3]-x[0])-cte[3])*_sig_(0.2*(x[0]-(cte[0]+cte[0]))))|_div_|(1+_exp_((cte[1]-x[0])-cte[3])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 5, 2, 0, 0, 14, 1, 0, 0, 5, 0, 0]"
5,"[[0], [0], [], [0], [0], [0, 0], [0], [0], [3, 0], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [], [], [0, 3, 2, 5, 4, 0, 3, 0, 4, 4, 3, 1, 1, 1], [0], [], [], [0, 0, 0, 0, 0], [], []]",5.460096240084209,6,cte[0]*((1-cte[3]*(x[0]-cte[2])|_div_|cte[5])*(1-_sig_(0.2*(x[0]-(cte[4]+cte[0]))))+(1-cte[3])*_exp_((cte[0]+cte[4]-x[0])|_div_|cte[4])*_sig_(0.2*(x[0]-(cte[3]+cte[1]))))|_div_|(1+_exp_((cte[1]-x[0])+cte[1])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 5, 2, 0, 0, 14, 1, 0, 0, 5, 0, 0]"
6,"[[0], [0], [], [0], [0], [0, 0], [0], [0], [2, 0], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [], [], [0, 0, 5, 4, 0, 0, 1, 4, 0, 3, 3, 5, 1, 0], [0], [], [], [0, 0, 0, 0, 0], [], []]",5.466712369701886,6,cte[0]*((1-cte[0]*(x[0]-cte[5])|_div_|cte[4])*(1-_sig_(0.2*(x[0]-(cte[0]+cte[0]))))+(1-cte[1])*_exp_((cte[4]+cte[0]-x[0])*cte[3])*_sig_(0.2*(x[0]-(cte[3]+cte[5]))))|_div_|(1+_exp_((cte[1]-x[0])+cte[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 5, 2, 0, 0, 14, 1, 0, 0, 5, 0, 0]"
7,"[[0], [0], [], [0], [0], [0, 0], [0], [0], [1, 0], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [], [], [0, 3, 3, 1, 0, 2, 0, 1, 1, 5, 3, 1, 2, 5], [0], [], [], [0, 0, 0, 0, 0], [], []]",5.46719567982183,6,cte[0]*((1-cte[3]*(x[0]-cte[3])|_div_|cte[1])*(1-_sig_(0.2*(x[0]-(cte[0]+cte[2]))))+(1-cte[0])*_exp_((cte[1]+cte[1]-x[0])-cte[5])*_sig_(0.2*(x[0]-(cte[3]+cte[1]))))|_div_|(1+_exp_((cte[2]-x[0])+cte[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 5, 2, 0, 0, 14, 1, 0, 0, 5, 0, 0]"
8,"[[0], [0], [], [0], [0], [0, 0], [0], [0], [2, 0], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [], [], [1, 3, 2, 5, 3, 2, 3, 0, 0, 0, 1, 2, 5, 1], [0], [], [], [0, 0, 0, 0, 0], [], []]",5.468600405635594,6,cte[1]*((1-cte[3]*(x[0]-cte[2])|_div_|cte[5])*(1-_sig_(0.2*(x[0]-(cte[3]+cte[2]))))+(1-cte[3])*_exp_((cte[0]+cte[0]-x[0])*cte[0])*_sig_(0.2*(x[0]-(cte[1]+cte[2]))))|_div_|(1+_exp_((cte[5]-x[0])+cte[1])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 5, 2, 0, 0, 14, 1, 0, 0, 5, 0, 0]"
9,"[[0], [0], [], [0], [0], [0, 0], [0], [0], [0, 0], [0, 0], [0, 0], [0, 0, 0, 0, 0], [0, 0], [], [], [3, 5, 1, 1, 3, 4, 0, 3, 1, 0, 5, 1, 1, 1], [0], [], [], [0, 0, 0, 0, 0], [], []]",5.469084150518898,6,cte[3]*((1-cte[5]*(x[0]-cte[1])|_div_|cte[1])*(1-_sig_(0.2*(x[0]-(cte[3]+cte[4]))))+(1-cte[0])*_exp_((cte[3]+cte[1]-x[0])+cte[0])*_sig_(0.2*(x[0]-(cte[5]+cte[1]))))|_div_|(1+_exp_((cte[1]-x[0])+cte[1])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 1, 2, 1, 1, 2, 2, 2, 5, 2, 0, 0, 14, 1, 0, 0, 5, 0, 0]"
